Phrasal Verb,Meaning,Example
Run off,Leave suddenly.,He RAN OFF without paying the bill.
Run on,Continue without stopping.,The meeting RAN ON for hours.
Run out,"Use up, exhaust.",We've RUN OUT OF milk.
Run over,Hit with a vehicle.,The cat was RUN OVER by a car.
Run through,Rehearse or practice quickly.,Let's RUN THROUGH the presentation one more time.
Run up,Accumulate.,He RAN UP huge debts on his credit card.
Rush into,"Do something too quickly, without proper thought.",Don't RUSH INTO making a decision.
Rush off,Leave in a hurry.,She RUSHED OFF to catch her train.
Rustle up,Prepare quickly.,I'll try to RUSTLE UP some sandwiches for lunch.
Saddle with,Burden someone with something unpleasant.,He was SADDLED WITH the responsibility of cleaning up the mess.
Sale off,Sell at a reduced price.,They're SALING OFF all their summer stock.
Salt away,Save money.,He's been SALTING AWAY money for years.
Save up,Accumulate money for a purpose.,We're SAVING UP for a new car.
Scale back,Reduce in size or extent.,The company had to SCALE BACK its expansion plans.
Scale down,Reduce in size or number.,We need to SCALE DOWN our expenses.
Scale up,Increase in size or extent.,The business is ready to SCALE UP its operations.
Scare away,Frighten so as to make someone or something go away.,The loud noise SCARED AWAY the birds.
Scare off,Frighten someone so that they go away.,The guard dog SCARED OFF the burglars.
Scare up,Find with difficulty.,I managed to SCARE UP a few volunteers for the event.
Scrape by,Manage with difficulty.,We're just SCRAPING BY on one salary.
Scrape together,Gather or collect with difficulty.,We SCRAPED TOGETHER enough money for a down payment.
Scratch out,Erase by scratching.,He SCRATCHED OUT his mistake and wrote the correct answer.
Screw around,Waste time.,Stop SCREWING AROUND and get back to work!
Screw up,Make a mistake.,I really SCREWED UP on that test.
Scrub up,"Clean oneself thoroughly, especially before surgery.",The surgeon SCRUBBED UP before the operation.
See about,Investigate or deal with.,I'll SEE ABOUT getting those tickets for you.
See off,Say goodbye to someone leaving on a journey.,We went to the airport to SEE OFF our friends.
See through,Not be deceived by.,I could SEE THROUGH his lies.
See to,Take care of or deal with.,I'll SEE TO the travel arrangements.
Sell off,"Sell everything in stock, often at reduced prices.",The store is SELLING OFF all its inventory.
Sell out,Sell all available stock.,The concert SOLD OUT in minutes.
Send away,Request something by mail.,I SENT AWAY for a free sample.
Send for,Summon.,The boss SENT FOR me to discuss the project.
Send off,Mail.,I SENT OFF the application form this morning.
Send out,Distribute.,We SENT OUT invitations to all our friends.
Send up,Parody or make fun of.,The comedian SENT UP the politician's mannerisms.
Set about,Begin doing something.,We SET ABOUT cleaning the house.
Set aside,Save or reserve for a special purpose.,We've SET ASIDE some money for a vacation.
Set back,Delay or hinder.,The bad weather SET BACK our plans.
Set down,Write or record.,He SET DOWN his thoughts in his diary.
Set forth,Start a journey.,They SET FORTH at dawn.
Set in,Begin and seem likely to continue.,Winter has SET IN early this year.
Set off,Begin a journey.,We SET OFF early to avoid traffic.
Set out,Begin a journey.,They SET OUT to climb the mountain.
Set up,Establish or arrange.,We need to SET UP a meeting for next week.
Settle down,Become calm or orderly.,The children took a while to SETTLE DOWN after the excitement.
Settle for,Accept something less than desired.,I had to SETTLE FOR a smaller apartment than I wanted.
Settle in,Become comfortable in a new situation.,It took her a while to SETTLE IN to her new job.
Settle on,Decide.,We finally SETTLED ON a name for the baby.
Settle up,Pay what is owed.,Let's SETTLE UP the bill before we leave.
Sew up,Conclude successfully.,We hope to SEW UP the deal by the end of the week.
Shade in,Color with a pencil or pen.,The children SHADED IN their drawings.
Shake down,Extort money from.,The gangsters tried to SHAKE DOWN the local businesses.
Shake off,Get rid of.,I can't seem to SHAKE OFF this cold.
Shake up,Change or disturb drastically.,The new CEO really SHOOK UP the company.
Shape up,Improve behavior or performance.,You need to SHAPE UP or you'll lose your job.
Share out,Distribute.,We SHARED OUT the profits among all the employees.
Shave off,Remove with a razor.,He SHAVED OFF his beard for the summer.
Shell out,Pay (usually reluctantly).,We had to SHELL OUT a lot of money for car repairs.
Ship off,Send away.,They SHIPPED the kids OFF to summer camp.
Ship out,"Leave, especially for military service.","He SHIPPED OUT to Iraq last month."
Shoot down,Reject or criticize severely.,The board SHOT DOWN all of my proposals.
Shoot for,Aim for.,We're SHOOTING FOR a 20% increase in sales this year.
Shoot off,Leave quickly.,He SHOT OFF as soon as the bell rang.
Shoot up,Grow quickly.,The kids have really SHOT UP this year.
Shop around,Compare prices or options before buying.,It pays to SHOP AROUND before making a big purchase.
Shore up,Support or strengthen.,The company needs to SHORE UP its finances.
Short out,Stop working due to an electrical fault.,The circuit SHORTED OUT and all the lights went off.
Shout down,Prevent someone from speaking by shouting.,The hecklers tried to SHOUT DOWN the speaker.
Show around,Give a tour.,I'll SHOW you AROUND the office.
Show off,Boast or display one's abilities.,He's always SHOWING OFF his new car.
Show up,Arrive or appear.,He didn't SHOW UP for the meeting.
Shrug off,Dismiss as unimportant.,He SHRUGGED OFF the criticism and continued with his plan.
Shut away,Put in a place where it can't be seen or reached.,She SHUT AWAY all reminders of her ex-boyfriend.
Shut down,Close or cease operations.,The factory SHUT DOWN due to lack of orders.
Shut off,Stop the flow of.,Please SHUT OFF the water before you leave.
Shut out,Prevent from entering or participating.,The new regulations SHUT OUT small businesses from the market.
Shut up,Be quiet.,SHUT UP! I'm trying to concentrate.
Shy away,Avoid due to timidity or caution.,Don't SHY AWAY FROM difficult questions.
Side with,Support or agree with.,"In the argument, I SIDED WITH my brother."
Sift through,Examine carefully.,The detective SIFTED THROUGH the evidence.
Sign in,Register one's arrival.,"Please SIGN IN at the reception desk."
Sign off,"End a letter, broadcast, etc.","He SIGNED OFF with his usual catchphrase."
Sign on,Agree to work for.,"He SIGNED ON with a new company last week."
Sign out,Register one's departure.,"Don't forget to SIGN OUT when you leave."
Sign up,Enroll or register.,I SIGNED UP for a yoga class.
Single out,Choose someone from a group for special attention.,She was SINGLED OUT for praise by the teacher.
Sink in,Be fully understood or realized.,It took a while for the news to SINK IN.
Sit around,Spend time idly.,We SAT AROUND all day watching TV.
Sit back,Relax.,"SIT BACK and enjoy the show."
Sit down,"Take a seat.","Please SIT DOWN, the meeting is about to start."
Sit in,Attend a meeting or event to observe.,"I SAT IN on the negotiations."
Sit in for,Temporarily replace.,"I'm SITTING IN FOR Janet while she's on vacation."
Sit on,Delay or suppress.,The committee has been SITTING ON the report for months.
Sit out,"Not participate.","I'll SIT OUT this dance, I'm too tired."
Sit through,Endure something boring.,I had to SIT THROUGH a three-hour lecture.
Sit up,Move into an upright sitting position.,He SAT UP in bed when he heard the noise.
Size up,Assess or evaluate.,She SIZED UP her competition before the race.
Skate over,Deal with something superficially.,The report SKATES OVER the real issues.
Sketch out,Outline or explain briefly.,Can you SKETCH OUT your ideas for the project?
Skim off,Remove from the surface.,He SKIMMED OFF the cream from the top of the milk.
Skim through,Read quickly and superficially.,I SKIMMED THROUGH the report before the meeting.
Skip out,Leave without paying.,They SKIPPED OUT on the restaurant bill.
Slack off,Reduce activity or work rate.,Don't SLACK OFF just because it's Friday afternoon.
Sleep around,Have many casual sexual partners.,He has a reputation for SLEEPING AROUND.
Sleep in,Sleep later than usual.,I love to SLEEP IN on weekends.
Sleep off,Recover from by sleeping.,He went home to SLEEP OFF the effects of the alcohol.
Sleep over,Spend the night at someone else's house.,Can I SLEEP OVER at your place tonight?
Slip away,Leave quietly or unnoticed.,He SLIPPED AWAY from the party early.
Slip by,Pass unnoticed.,Another year has SLIPPED BY.
Slip out,Leave quietly or secretly.,I SLIPPED OUT of the meeting early.
Slip up,Make a careless mistake.,I SLIPPED UP and forgot her birthday.
Slow down,Reduce speed.,You need to SLOW DOWN in this residential area.
Slow up,Reduce speed.,The traffic SLOWED UP as we approached the city.
Smarten up,Improve one's appearance or behavior.,You need to SMARTEN UP before the interview.
Smell out,Detect or discover.,The dog SMELLED OUT the hidden treats.
Smooth out,Remove problems or difficulties.,We need to SMOOTH OUT these issues before the launch.
Snap out of,Suddenly stop feeling a particular way.,SNAP OUT OF it! You can't mope around forever.
Snap up,Buy or obtain quickly.,The tickets were SNAPPED UP within minutes.
Sneak in,Enter secretly or without permission.,He SNUCK IN through the back door.
Sneak out,Leave secretly or without permission.,The teenagers SNUCK OUT after their parents went to bed.
Sniff out,Discover or detect.,The police SNIFFED OUT the drug smuggling operation.
Snuff out,Extinguish or put an end to.,The economic crisis SNUFFED OUT many small businesses.
Soak up,Absorb.,The sponge SOAKED UP all the water.
Sober up,Become sober after drinking alcohol.,He needs to SOBER UP before driving home.
Sort out,Resolve a problem.,We need to SORT OUT this misunderstanding.
Sound off,Express one's opinion forcefully.,He's always SOUNDING OFF about politics.
Sound out,Investigate someone's opinion.,"I'll SOUND OUT the team about the new proposal."
Space out,Become inattentive or distracted.,"Sorry, I SPACED OUT for a moment. What did you say?"
Spark off,Cause something to start.,"The incident SPARKED OFF a riot."
Speak out,Express one's opinion publicly.,"She SPOKE OUT against the new policy."
Speak up,Speak more loudly.,Could you SPEAK UP? I can't hear you.
Speed up,Go faster.,We need to SPEED UP production to meet the deadline.
Spell out,Explain in detail.,Let me SPELL OUT the consequences of your actions.
Spice up,Make more interesting or exciting.,We need to SPICE UP this presentation.
Spin off,Create a new company from part of an existing one.,The division was SPUN OFF into a separate company.
Spin out,Make last as long as possible.,He SPUN OUT his story to fill the time.
Spirit away,Take someone away secretly.,The child was SPIRITED AWAY in the middle of the night.
Spit out,Say something quickly and forcefully.,He SPAT OUT an angry response.
Splash out,Spend a lot of money on something.,We SPLASHED OUT on a fancy dinner to celebrate.
Split up,End a relationship.,They SPLIT UP after five years of marriage.
Sponge off,Live at someone else's expense.,He's been SPONGING OFF his parents for years.
Spruce up,Make more attractive or smart.,We need to SPRUCE UP the house before we sell it.
Square away,Settle or resolve.,Let's SQUARE AWAY these details before we move forward.
Square off,Prepare to fight.,The two boxers SQUARED OFF in the ring.
Square up,Pay a debt.,It's time to SQUARE UP our accounts.
Square with,Be compatible or consistent with.,Your story doesn't SQUARE WITH the evidence.
Squeeze in,Manage to fit someone or something into a tight schedule.,I can SQUEEZE you IN for a quick meeting at 3pm.
Squeeze out,Force to leave.,The small businesses were SQUEEZED OUT by the big corporations.
Stack up,Compare.,How does our offer STACK UP against the competition?
Stall for,Try to gain more time.,He was STALLING FOR time while he thought of an answer.
Stand by,Support or remain loyal to.,I'll STAND BY you no matter what happens.
Stand down,Resign from a position.,The CEO STOOD DOWN after the scandal.
Stand for,Represent or mean.,What does UNESCO STAND FOR?
Stand in,Temporarily replace someone.,Can you STAND IN for me at the meeting?
Stand out,Be very noticeable.,Her red hair really STANDS OUT in a crowd.
Stand up,Fail to meet someone as arranged.,He STOOD me UP on our first date.
Stand up for,Defend or support.,You need to STAND UP FOR yourself more.
Stand up to,Resist or oppose.,She STOOD UP TO the bully.
Stare down,Defeat by staring at someone until they look away.,He tried to STARE DOWN his opponent.
Start off,Begin.,Let's START OFF with a brief introduction.
Start on,Begin working on.,I need to START ON my homework.
Start out,Begin.,"We STARTED OUT as a small family business."
Start over,Begin again.,"After the divorce, she STARTED OVER in a new city."
Start up,Begin operating.,"The car wouldn't START UP this morning."
Stay away,Not go near.,"STAY AWAY from the edge of the cliff."
Stay behind,Remain after others have left.,Can you STAY BEHIND after class? I need to talk to you.
Stay in,Remain at home.,Let's STAY IN and watch a movie tonight.
Stay on,Continue in a job.,He decided to STAY ON at the company for another year.
Stay out,Remain away from home.,Don't STAY OUT too late.
Stay over,Spend the night.,Can I STAY OVER at your place tonight?
Stay up,Not go to bed.,I STAYED UP all night studying for the exam.
Steal away,Leave quietly or secretly.,They STOLE AWAY in the middle of the night.
Steam up,Become covered with condensation.,The windows STEAMED UP in the cold weather.
Step aside,Resign from a position.,The CEO STEPPED ASIDE to let someone else lead the company.
Step down,Resign from a position.,The minister STEPPED DOWN after the scandal.
Step in,Become involved.,"The government had to STEP IN to save the failing bank."
Step on it,"Go faster (usually when driving).","We're late, STEP ON IT!"
Step out,Leave a room or building for a short time.,"I'm going to STEP OUT for some fresh air."
Step up,Increase or improve.,"We need to STEP UP our efforts if we want to succeed."
Stick around,Stay in a place.,STICK AROUND after the show and we'll go for a drink.
Stick by,Remain loyal to.,She STUCK BY him through all his troubles.
Stick out,Be very noticeable.,His bright red hair really STICKS OUT in a crowd.
Stick to,Continue doing or using something.,Let's STICK TO the original plan.
Stick up,Rob at gunpoint.,The store was STUCK UP last night.
Stick up for,Defend or support.,He always STICKS UP FOR his little brother.
Stir up,Cause trouble or controversy.,His comments STIRRED UP a lot of debate.
Stock up,Buy large quantities to keep for future use.,We need to STOCK UP on supplies before the storm.
Stop by,Visit briefly.,I'll STOP BY your office later.
Stop off,Make a short stop during a journey.,We STOPPED OFF for lunch on our way to the beach.
Stop over,Stay somewhere for a short time during a journey.,We're STOPPING OVER in Singapore for two days on our way to Australia.
Stop up,Block or fill a hole.,We need to STOP UP these cracks to keep out the draft.
Straighten out,Resolve or clarify.,Let's STRAIGHTEN OUT this misunderstanding.
Straighten up,Make neat or tidy.,Please STRAIGHTEN UP your room before the guests arrive.
Strike out,Fail or be unsuccessful.,He STRUCK OUT on his third business venture.
Strike up,Begin or start suddenly.,They STRUCK UP a conversation while waiting in line.
String along,Deceive or mislead.,He STRUNG her ALONG for months before admitting he wasn't interested.
Strip down,Remove clothing or parts.,We STRIPPED DOWN the engine to find the problem.
Strip off,Remove clothing quickly.,The firefighters STRIPPED OFF their gear after the call.
Stumble across,Find something by chance.,I STUMBLED ACROSS an interesting article while researching.
Stumble on,Find something by chance.,She STUMBLED ON a rare coin in her garden.
Suck in,Draw in or absorb.,The vacuum SUCKED IN all the dirt.
Suck up to,Try to gain favor by flattery.,He's always SUCKING UP TO the boss.
Sum up,Summarize.,Can you SUM UP your proposal in a few sentences?
Summon up,Gather or call forth.,He SUMMONED UP all his courage to ask her out.
Swear by,Have great faith in.,I SWEAR BY this brand of shampoo.
Swear in,Administer an oath of office.,The new president was SWORN IN on January 20th.
Sweat out,Wait anxiously.,We SWEATED OUT the exam results for a week.
Sweep aside,Dismiss or ignore.,He SWEPT ASIDE all objections to his plan.
Sweep up,Clean by sweeping.,Can you SWEEP UP the broken glass?
Switch off,Turn off (usually an electrical device).,Don't forget to SWITCH OFF the lights when you leave.
Switch on,Turn on (usually an electrical device).,SWITCH ON the TV; the news is about to start.
Switch over,Change from one thing to another.,We've SWITCHED OVER to a new supplier.
Tag along,Accompany someone.,Can I TAG ALONG on your trip to the mall?
Take after,Resemble a family member.,She TAKES AFTER her mother in looks and personality.
Take apart,Disassemble.,He TOOK APART the clock to see how it worked.
Take away,Remove.,The waiter TOOK AWAY our empty plates.
Take back,Retract a statement.,I TAKE BACK what I said about your cooking.
Take down,Write down.,Please TAKE DOWN these instructions.
Take in,Understand or absorb.,I couldn't TAKE IN all the information at once.
Take off,Leave the ground (for planes).,The plane TOOK OFF on time.
Take on,Accept a job or responsibility.,She TOOK ON extra work to earn more money.
Take out,Remove from a place.,He TOOK OUT his wallet to pay.
Take over,Assume control.,A larger company TOOK OVER our business.
Take to,Develop a liking for.,She's really TAKEN TO her new job.
Take up,Start a hobby or activity.,I've TAKEN UP yoga to reduce stress.
Talk back,Respond rudely.,Don't TALK BACK to your teacher.
Talk down,Speak condescendingly.,He tends to TALK DOWN to his subordinates.
Talk into,Persuade.,They TALKED me INTO going to the party.
Talk over,Discuss.,Let's TALK OVER this problem and find a solution.
Talk through,Explain in detail.,Can you TALK me THROUGH the process?
Talk up,Praise or promote.,He's always TALKING UP his company's products.
Tangle with,Get into conflict with.,You don't want to TANGLE WITH that guy; he's a boxer.
Tap into,Make use of.,We need to TAP INTO new markets to increase sales.
Tear apart,Criticize harshly.,The critics TORE APART his latest film.
Tear down,Demolish.,They're going to TEAR DOWN the old factory.
Tear into,Attack verbally or physically.,She TORE INTO him for forgetting their anniversary.
Tear up,Rip into pieces.,He TORE UP the letter without reading it.
Tell apart,Distinguish between.,I can't TELL the twins APART.
Tell off,Reprimand.,The teacher TOLD OFF the students for being late.
Tell on,Inform on someone.,Don't TELL ON me to the teacher!
Think ahead,Plan for the future.,"We need to THINK AHEAD about retirement."
Think back,"Recall a memory.","THINKING BACK, I realize I made the right decision."
Think over,Consider carefully.,"I'll THINK OVER your proposal and get back to you."
Think through,Consider all aspects of something.,"We need to THINK THROUGH all the implications before making a decision."
Think up,Invent or create an idea.,Can you THINK UP an excuse for being late?
Throw away,Discard.,Don't THROW AWAY those old magazines; I need them.
Throw in,Include as an extra.,They THREW IN a free car wash with the oil change.
Throw off,Get rid of.,It took me a week to THROW OFF that cold.
Throw out,Discard.,We THREW OUT all the old furniture.
Throw up,Vomit.,He THREW UP after eating bad seafood.
Tick off,Annoy.,His constant complaining really TICKS me OFF.
Tide over,Help someone through a difficult period.,This loan should TIDE us OVER until payday.
Tidy up,Make neat.,Let's TIDY UP the house before our guests arrive.
Tie down,Restrict.,I don't want to be TIED DOWN to one job.
Tie in,Connect or relate.,How does this TIE IN with our overall strategy?
Tie up,Occupy or use all of something.,This project will TIE UP all our resources for months.
Tip off,Warn or give secret information.,Someone TIPPED OFF the police about the robbery.
Tone down,Make less extreme.,"You need to TONE DOWN your language in professional settings."
Top off,"Fill to the brim.","Can you TOP OFF my coffee, please?"
Top up,"Add more to reach a desired level.","I need to TOP UP my phone credit."
Touch down,"Land (for aircraft).","The plane TOUCHED DOWN at 3 pm."
Touch on,Mention briefly.,The speaker TOUCHED ON several important points.
Touch up,Improve with small changes.,She TOUCHED UP her makeup before the photo.
Trade in,Exchange an old item for a new one.,I TRADED IN my old car for a newer model.
Trade on,Take advantage of.,He TRADES ON his family name to get ahead.
Trickle down,Pass on benefits from the wealthy to the poor.,The economic benefits haven't TRICKLED DOWN to the working class.
Trip up,Make a mistake.,Be careful not to TRIP UP on the technical questions in the interview.
Try on,Put on clothes to see if they fit.,I'm going to TRY ON this dress.
Try out,Test.,Let's TRY OUT the new restaurant downtown.
Tuck away,Store in a safe place.,I TUCKED AWAY some money for emergencies.
Tuck in,Eat heartily.,The children TUCKED IN to the delicious meal.
Turn against,Change from friend to enemy.,The public TURNED AGAINST the politician after the scandal.
Turn around,Improve or change to the opposite.,The company TURNED AROUND its finances in just one year.
Turn away,Refuse entry or service.,The club TURNED AWAY anyone without proper ID.
Turn down,Reject or refuse.,She TURNED DOWN the job offer.
Turn in,Go to bed.,"I'm tired, I think I'll TURN IN early tonight."
Turn into,Become.,"The caterpillar TURNED INTO a beautiful butterfly."
Turn off,Switch off.,"Don't forget to TURN OFF the lights when you leave."
Turn on,Switch on.,"Can you TURN ON the air conditioning? It's hot in here."
Turn out,Prove to be.,The party TURNED OUT to be a great success.
Turn over,Give control to someone else.,The company was TURNED OVER to new management.
Turn to,"Ask for help.","When in trouble, he always TURNS TO his parents for advice."
Turn up,Appear unexpectedly.,He TURNED UP at the party uninvited.
Type out,Write using a keyboard.,Could you TYPE OUT this handwritten note for me?
Use up,Consume all of something.,We've USED UP all the milk.
Usher in,"Mark the beginning of.","The new law USHERED IN a period of economic growth."
Veg out,"Relax in a mindless way.","After a long week, I just want to VEG OUT in front of the TV."
Wade in,"Become involved in a difficult situation.","He WADED IN to break up the fight."
Wade through,"Deal with a large amount of something.","I had to WADE THROUGH piles of paperwork."
Wait on,Serve.,She WAITS ON tables at the local diner.
Wait up,Stay awake until someone arrives.,Don't WAIT UP for me; I'll be home late.
Wake up,Stop sleeping.,I WAKE UP at 7 am every day.
Walk away,Leave a difficult situation.,He WALKED AWAY from the argument before it got worse.
Walk away with,Win easily.,She WALKED AWAY WITH the first prize.
Walk in on,Interrupt by entering unexpectedly.,I WALKED IN ON a private conversation.
Walk out,"Leave suddenly, often as a protest.","The workers WALKED OUT over a pay dispute."
Walk out on,Abandon.,"He WALKED OUT ON his family."
Warm up,Prepare for physical activity.,"The athletes WARMED UP before the race."
Wash away,Remove by the action of water.,The rain WASHED AWAY all the dirt.
Wash down,Drink something to help swallow food.,He WASHED DOWN the pill with a glass of water.
Wash out,Cancel due to rain.,The picnic was WASHED OUT by the storm.
Wash up,Clean dishes and utensils.,It's your turn to WASH UP after dinner.
Watch out,Be careful.,WATCH OUT for that car!
Water down,Dilute or make less powerful.,The report was WATERED DOWN to avoid controversy.
Wave off,Dismiss or reject with a gesture.,He WAVED OFF their concerns about the project.
Wear down,Gradually exhaust or erode.,The constant stress WORE him DOWN.
Wear off,Gradually disappear.,The effects of the medicine will WEAR OFF in a few hours.
Wear out,Use until useless.,He WORE OUT his shoes with all that walking.
Weed out,Remove unwanted elements.,The interview process WEEDS OUT unsuitable candidates.
Weigh down,Make heavy or depressed.,The backpack WEIGHED him DOWN as he climbed the mountain.
Weigh in,Contribute an opinion.,The expert WEIGHED IN on the debate.
Weigh on,Cause worry or stress.,The decision WEIGHED ON his mind all night.
Weigh up,Consider carefully.,We need to WEIGH UP all the options before deciding.
Wheel around,Turn quickly.,He WHEELED AROUND when he heard his name called.
While away,Pass time idly.,We WHILED AWAY the afternoon playing cards.
Whip up,Prepare quickly.,She WHIPPED UP a delicious meal in no time.
Wind down,Relax after stress.,I like to WIND DOWN with a book after a long day.
Wind up,End up or finish.,Where did you WIND UP after the party?
Wipe out,Destroy completely.,The tsunami WIPED OUT the entire village.
Wise up,Become aware.,It's time you WISED UP to what's really going on.
Work in,Include or incorporate.,Can you WORK IN a meeting with the client this afternoon?
Work off,Get rid of through effort.,He WORKED OFF his frustration at the gym.
Work on,Try to improve.,She's WORKING ON her French pronunciation.
Work out,Exercise.,I try to WORK OUT at least three times a week.
Work through,Deal with (a problem).,We need to WORK THROUGH these issues together.
Work up,Gradually develop.,He WORKED UP the courage to ask her out.
Wrap up,Finish.,Let's WRAP UP this meeting; it's getting late.
Write down,Record in writing.,Please WRITE DOWN your contact information.
Write off,Cancel a debt.,The company WROTE OFF the bad loans.
Write out,Write something completely or in detail.,Please WRITE OUT your answer in full sentences.
Write up,Write a report or account of something.,I need to WRITE UP the minutes of the meeting.
Zero in,Focus on.,The police are ZEROING IN on the main suspect.
Zone out,Lose concentration.,I ZONED OUT during the boring lecture.
Zoom in,Focus more closely.,Can you ZOOM IN on that detail in the photo?
